                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0258,                0.81818,                 1.4606,                 1.0893,                0.91079,                 1.5215,                0.83558,                0.96564,                  0.995,                0.78493,                0.88301,                0.57054,                 1.1845,                0.94796,                 0.5965,                 1.1977,             0.00030821,             0.00030821,             0.00030821
                     24,                0.87056,                0.58147,                 1.4428,                0.90034,                 0.5764,                 1.4642,                0.95463,                0.68892,                0.88617,                0.57786,                 1.1986,                0.65803,                 1.3185,                 1.3823,                0.83868,                 1.4683,             0.00028322,             0.00028322,             0.00028322
                     25,                0.89398,                0.55492,                 1.4288,                0.97069,                0.59506,                 1.4917,                0.75729,                   0.75,                0.74742,                0.56949,                 1.0558,                0.71368,                 1.2624,                 1.3264,                0.59291,                 1.5109,             0.00025823,             0.00025823,             0.00025823
                     26,                  0.888,                0.54168,                 1.4062,                0.97127,                0.52173,                 1.4745,                0.92245,                0.82908,                  0.995,                0.77784,                0.79497,                 0.5462,                 1.1673,                0.92565,                 0.5101,                 1.2455,             0.00023324,             0.00023324,             0.00023324
                     27,                0.81348,                 0.4937,                 1.3638,                  0.866,                0.49047,                 1.4048,                0.78179,                0.97849,                  0.995,                0.81043,                0.83403,                0.50429,                 1.1556,                0.90691,                0.44491,                 1.2003,             0.00020825,             0.00020825,             0.00020825
                     28,                0.85781,                0.50145,                 1.3781,                0.90341,                 0.4795,                 1.4149,                0.63286,                      1,                  0.995,                0.78096,                0.88629,                0.49233,                 1.1648,                0.93687,                0.45239,                 1.1929,             0.00018326,             0.00018326,             0.00018326
                     29,                0.80446,                0.46511,                 1.3556,                0.82996,                0.40801,                 1.3885,                0.76662,                      1,                  0.995,                0.82828,                0.76952,                 0.4285,                  1.108,                0.76635,                  0.294,                 1.1085,             0.00015827,             0.00015827,             0.00015827
                     30,                0.76439,                0.43305,                 1.3004,                0.78999,                0.40233,                 1.3233,                0.86542,                      1,                  0.995,                0.85986,                0.77782,                0.41246,                 1.1154,                0.75821,                0.32879,                  1.121,             0.00013328,             0.00013328,             0.00013328
                     31,                0.73539,                0.42702,                 1.3104,                0.76821,                0.36777,                 1.3544,                0.93213,                0.94683,                  0.995,                0.86108,                 0.6917,                0.38352,                 1.0429,                0.68786,                0.29903,                 1.0596,             0.00010829,             0.00010829,             0.00010829
                     32,                 0.7248,                0.46262,                 1.2755,                 0.7627,                0.41192,                 1.3168,                0.91634,                 0.9516,                  0.995,                0.86962,                0.69562,                0.38866,                 1.0339,                0.68262,                0.36152,                 1.0278,               8.33e-05,               8.33e-05,               8.33e-05
                     33,                0.74158,                0.40859,                 1.3088,                 0.7763,                0.40833,                 1.3305,                0.93173,                 0.9375,                0.97417,                0.83078,                0.72844,                0.40089,                 1.0544,                0.74801,                0.35375,                  1.061,              5.831e-05,              5.831e-05,              5.831e-05
