                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1854,                 3.3028,                 1.7195,                 1.1021,                  8.612,                 1.6858,                0.54023,                0.30411,                0.38947,                0.32558,                0.71275,                 2.8694,                 1.1677,                 0.6677,                 11.045,                 1.1254,             0.00014161,             0.00014161,             0.00014161
                      2,                 1.1396,                 2.0314,                 1.5473,                 1.0894,                 5.2815,                 1.4897,                0.85093,                 0.1875,                   0.27,                0.16025,                 1.4433,                  4.274,                 2.1169,                 1.4049,                 7.9705,                 2.1996,              0.0002828,              0.0002828,              0.0002828
                      3,                 1.2694,                 1.7495,                 1.6942,                 1.2455,                 3.3334,                 1.6137,                0.25045,                 0.0625,                 0.0003,                0.00015,                 3.7101,                   1265,                 14.355,                 3.8905,                  33562,                 12.101,               0.000415,               0.000415,               0.000415
                      4,                 1.2609,                 1.5432,                 1.6534,                 1.3144,                 2.3643,                 1.6272,                0.03557,                 0.0625,                0.06306,                0.04219,                 3.3543,                  17529,                 38.231,                 3.1501,                  16630,                 23.256,              0.0005382,              0.0005382,              0.0005382
                      5,                 1.2513,                 1.5706,                 1.6827,                 1.2989,                   2.15,                 1.7142,                0.11394,                 0.0625,                 0.0629,                0.02124,                 3.1966,                 165.35,                 11.082,                 3.4507,                 374.52,                 8.2922,             0.00065241,             0.00065241,             0.00065241
                      6,                  1.432,                 1.8224,                 1.7563,                 1.4272,                 2.4883,                 1.7573,                0.48134,                  0.125,                0.16657,                0.11043,                   2.95,                 4.3369,                  4.019,                 2.7701,                 5.5532,                 3.8001,             0.00070805,             0.00070805,             0.00070805
                      7,                 1.2274,                 1.4938,                 1.6433,                 1.3648,                 1.8842,                 1.6707,                0.00737,                  0.375,                0.10218,                0.03238,                 2.9851,                   5.64,                 5.7534,                 2.5581,                 343.45,                 3.5017,             0.00070805,             0.00070805,             0.00070805
                      8,                 1.3433,                 1.4294,                 1.7143,                 1.4282,                 1.8387,                 1.7219,                0.68461,                0.66069,                 0.6787,                0.38229,                 1.9635,                 2.2199,                 2.5082,                 2.1117,                 3.4161,                 2.2676,             0.00068306,             0.00068306,             0.00068306
                      9,                 1.2596,                 1.2516,                 1.6208,                 1.3642,                  1.619,                  1.654,                 0.5229,                0.33577,                0.29411,                0.17075,                 1.6063,                 4.1195,                 1.7848,                 1.3983,                 4.8182,                 1.6962,             0.00065807,             0.00065807,             0.00065807
                     10,                 1.2105,                 1.2703,                 1.6083,                  1.323,                 1.5717,                 1.6158,                0.50758,                 0.5063,                0.43762,                0.27525,                 1.2977,                 4.3685,                 1.7015,                 1.3026,                 3.6909,                 1.7063,             0.00063308,             0.00063308,             0.00063308
                     11,                 1.1906,                  1.196,                 1.5741,                 1.2288,                   1.46,                 1.6051,                0.91254,                 0.4375,                0.70136,                0.47858,                  1.049,                  2.217,                 1.4872,                 1.4183,                 3.0095,                 1.8124,             0.00060809,             0.00060809,             0.00060809
                     12,                  1.218,                  1.129,                 1.5937,                 1.3299,                 1.3931,                 1.6387,                0.87502,                0.39659,                0.57869,                0.38957,                 1.3256,                  2.282,                 1.6279,                 1.6862,                 2.6171,                 1.7389,              0.0005831,              0.0005831,              0.0005831
                     13,                  1.177,                 1.1208,                 1.5845,                 1.3215,                 1.3655,                  1.672,                0.68473,                 0.8125,                0.83917,                0.60527,                 1.0925,                 1.3441,                 1.4486,                  1.122,                 1.2033,                 1.4071,             0.00055811,             0.00055811,             0.00055811
                     14,                 1.1252,                 1.0783,                 1.5556,                 1.2151,                 1.2538,                 1.6291,                0.57685,                0.71822,                0.73464,                0.44591,                 1.1638,                 1.6416,                 1.5015,                 1.1304,                 1.9283,                 1.6339,             0.00053312,             0.00053312,             0.00053312
                     15,                 1.1445,                0.98527,                 1.5582,                  1.303,                 1.1602,                 1.6333,                 0.7873,                 0.5041,                0.64704,                0.42009,                 1.3041,                  2.356,                 1.4962,                  1.309,                 2.3874,                    1.6,             0.00050813,             0.00050813,             0.00050813
                     16,                 1.2108,                 1.0308,                 1.6513,                 1.3047,                  1.273,                 1.7276,                0.66076,                0.74346,                 0.7876,                0.48626,                  1.381,                 1.5938,                 1.6722,                 1.4445,                 1.6212,                 1.7562,             0.00048314,             0.00048314,             0.00048314
                     17,                 1.1501,                0.94314,                 1.5784,                 1.2057,                 1.1658,                 1.6307,                 0.9332,                0.45744,                0.79489,                0.55468,                 1.2078,                 1.2289,                  1.507,                 1.1922,                 1.6612,                 1.6453,             0.00045815,             0.00045815,             0.00045815
                     18,                 1.1196,                0.88841,                 1.5406,                 1.1934,                 1.0401,                 1.6002,                0.93742,                0.70584,                  0.995,                0.62638,                 1.2847,                 1.1419,                  1.675,                 1.1513,                 1.5172,                 1.5041,             0.00043316,             0.00043316,             0.00043316
                     19,                 1.1146,                0.88987,                 1.5364,                 1.1712,                 1.0614,                 1.5693,                0.74047,                0.82161,                0.83746,                0.62297,                0.94101,                  1.146,                 1.2832,                 1.0185,                 1.4418,                 1.3378,             0.00040817,             0.00040817,             0.00040817
                     20,                 1.1605,                0.88153,                 1.5669,                 1.2274,                 1.0147,                 1.6317,                0.70605,                0.72233,                 0.8955,                0.63098,                 1.1358,                0.95571,                 1.2986,                 1.1638,                 1.0312,                 1.2951,             0.00038318,             0.00038318,             0.00038318
                     21,                 1.0613,                0.89559,                 1.4924,                  1.166,                0.93825,                 1.5484,                0.67515,                0.97885,                0.93281,                0.77585,                0.70411,                0.79443,                 1.0998,                0.80568,                0.74502,                 1.1685,             0.00035819,             0.00035819,             0.00035819
                     22,                 1.0449,                0.83325,                  1.475,                 1.1085,                0.91585,                 1.5265,                0.80191,                0.93521,                  0.995,                0.75364,                 1.0138,                0.79288,                 1.1898,                0.97061,                0.90452,                 1.1722,              0.0003332,              0.0003332,              0.0003332
